#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
134,Yordan Alvarez,HOU,OF,OF,-5.5,10.2,6,27,26,4,9,0,1,0,0,1,4,0.346,0.370,0.423,0.793,100,670541
135,Kyle Higashioka,TEX,C,C,-5.8,95.0,2,8,8,1,3,1,3,0,0,0,1,0.375,0.375,0.750,1.125,7,5517
136,Michael Massey,KC,2B,2B/OF,-5.9,9.0,6,21,19,4,4,1,3,0,0,1,3,0.211,0.250,0.421,0.671,8,686681
137,Shea Langeliers,ATH,C,C,-6.1,10.8,6,28,25,4,5,1,4,0,1,3,5,0.200,0.286,0.400,0.686,100,669127
138,Nicky Lopez,TEX,2B/3B,2B/SS/ 3B,-6.1,-0.8,6,15,15,1,5,0,0,2,0,0,1,0.333,0.333,0.333,0.667,0,670032
139,Jonah Heim,ATH,C,C,-6.3,17.6,5,17,16,1,6,1,2,0,0,1,2,0.375,0.412,0.625,1.037,3,16930
140,Jeremiah Jackson,BAL,2B/OF,2B/3B/ OF,-6.3,90.0,2,5,5,1,2,1,3,0,0,0,1,0.400,0.400,1.000,1.400,12,669236
141,Hao-Yu Lee,DET,2B/3B,2B/3B,-6.4,10.8,5,15,15,1,6,0,1,1,1,0,4,0.400,0.400,0.467,0.867,0,701678
142,Victor Mesa Jr.,TB,OF,OF,-6.8,45.3,3,11,8,3,2,1,2,0,0,3,1,0.250,0.455,0.625,1.080,0,683748
143,Mauricio Dubon,ATL,2B/SS/ 3B/OF,2B/SS/ 3B/OF,-6.9,19.6,5,21,20,1,5,1,5,0,0,1,1,0.250,0.286,0.400,0.686,91,643289
144,Jake Mangum,PIT,OF,OF,-7.0,12.8,5,21,21,1,7,0,2,1,0,0,2,0.333,0.333,0.333,0.667,61,663968
145,Cedric Mullins,TB,OF,OF,-7.1,6.4,5,22,19,1,6,0,0,2,0,2,3,0.316,0.409,0.316,0.725,40,656775
146,Tyler Freeman,COL,OF,2B/OF,-7.2,12.6,5,20,18,6,4,0,2,0,1,1,3,0.222,0.300,0.333,0.633,13,671289
147,Willy Adames,SF,SS,SS,-7.5,16.8,5,20,20,3,4,2,2,0,0,0,3,0.200,0.200,0.500,0.700,100,642715
148,Nathan Church,STL,OF,OF,-7.5,3.7,6,19,15,3,6,0,1,0,0,4,4,0.400,0.526,0.533,1.060,16,701675
149,Spencer Horwitz,PIT,1B,1B,-7.7,3.5,6,30,21,7,4,0,2,0,0,6,5,0.190,0.433,0.333,0.767,79,687462
150,Curtis Mead,WSH,1B/3B,1B/2B/ 3B,-7.8,14.2,5,17,13,2,2,1,5,0,0,3,2,0.154,0.353,0.385,0.738,91,678554
151,Starling Marte,KC,OF,OF,-7.9,39.7,3,12,12,3,5,0,1,0,0,0,2,0.417,0.417,0.500,0.917,0,9241
152,Lars Nootbaar,STL,OF,OF,-8.2,3.5,6,22,18,4,6,0,1,0,1,3,6,0.333,0.409,0.333,0.742,83,663457
153,Jakob Marsee,MIA,OF,OF,-8.5,2.0,6,24,23,3,5,1,1,1,0,1,9,0.217,0.250,0.391,0.641,95,805300
